filepath,label
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0676.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0395.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0065.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0466.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0273.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0696.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0118.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0446.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0424.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0758.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0562.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0316.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0725.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0480.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0090.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0795.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0740.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0460.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0729.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0458.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0833.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0848.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0383.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0347.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0482.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0210.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0453.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0176.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0875.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0749.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0101.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0894.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0840.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0522.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0098.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0359.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0136.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0929.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0384.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0510.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0030.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0312.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0115.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0054.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0216.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0705.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0049.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0497.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0428.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0013.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0388.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0829.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0674.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0027.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0749.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0771.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0899.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0382.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0595.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0397.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0351.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0676.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0682.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0054.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0155.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0835.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0325.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0008.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0853.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0162.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0749.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0513.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0801.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0835.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0244.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0479.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0227.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0101.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0875.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0199.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0238.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0394.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0647.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0472.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0919.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0686.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0756.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0668.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0130.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0824.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0410.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0361.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0192.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0611.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0994.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0501.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0190.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0342.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0935.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0717.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0300.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0038.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0268.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0097.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0003.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0496.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0803.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0599.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0455.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0799.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0565.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0157.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0055.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0230.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0637.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0952.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0619.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0425.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0915.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0339.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0074.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0739.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0782.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0109.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0345.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0893.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0127.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0319.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0732.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0834.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0657.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0032.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0473.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0841.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0338.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0020.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0804.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0113.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0154.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0333.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0948.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0950.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0322.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0076.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0227.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0260.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0549.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0324.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0758.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0728.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0598.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0197.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0053.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0990.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0031.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0327.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0709.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0856.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0750.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0594.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0802.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0919.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0631.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0656.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0144.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0554.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0445.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0079.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0124.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0459.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0612.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0482.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0452.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0815.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0625.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0241.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0468.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0347.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0172.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0193.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0548.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0142.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0192.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0154.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0728.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0608.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0332.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0688.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0371.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0420.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0919.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0252.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0213.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0100.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0296.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0850.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0169.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0865.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0623.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0863.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0665.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0436.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0421.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0169.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0289.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0796.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0999.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0311.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0626.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0321.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0923.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0643.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0922.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0712.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0064.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0755.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0731.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0508.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0881.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0474.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0766.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0150.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0446.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0494.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0781.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0873.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0400.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0351.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0004.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0432.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0843.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0849.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0669.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0100.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0516.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0842.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0426.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0560.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0410.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0077.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0489.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0845.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0368.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0610.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0857.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0564.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0313.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0666.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0366.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0298.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0661.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0934.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0354.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0123.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0211.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0088.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0594.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0854.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0048.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0676.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0341.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0470.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0586.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0067.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0963.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0705.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0356.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0260.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0407.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0317.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0654.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0791.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0621.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0691.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0755.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0335.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0458.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0141.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0315.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0307.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0968.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0995.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0611.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0677.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0344.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0204.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0884.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0476.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0828.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0018.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0086.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0090.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0458.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0583.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0492.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0681.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0372.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0609.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0083.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0358.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0159.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0379.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0165.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0799.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0826.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0450.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0592.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0970.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0833.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0504.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0163.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0862.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0397.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0897.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0464.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0367.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0945.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0620.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0482.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0621.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0285.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0392.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0329.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0541.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0877.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0851.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0963.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0664.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0846.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0977.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0373.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0902.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0582.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0947.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0610.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0228.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0005.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0346.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0736.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0822.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0984.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0351.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0178.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0780.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0595.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0520.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0597.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0994.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0102.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0959.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0796.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0290.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0816.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0589.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0051.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0029.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0241.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0551.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0511.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0862.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0895.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0183.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0476.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0900.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0088.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0645.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0439.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0132.npy,5
